phylum;subphylum;class;order;genus;name;taxID;jgiID 
Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreales;Beauveria;Beauveria bassiana ARSEF 2860;655819;Beaba1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Benjaminiella;Benjaminiella poitrasii;64631;Benpoi1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Bimuria;Bimuria novae-zelandiae;147497;Bimnz1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Biscogniauxia;Biscogniauxia sp. FL1348;2614606;Biscog1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Biscogniauxia;Biscogniauxia marginata;110534;Bisma1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Biscogniauxia;Biscogniauxia mediterranea;97377;Bisme1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Biscogniauxia;Biscogniauxia mediterranea;97377;Bismed1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Biscogniauxia;Biscogniauxia nummularia;97378;Bisnum1
Ascomycota;Pezizomycotina;Leotiomycetes;Helotiales;Bisporella;Bisporella sp. PMI_857;1954211;Bissp1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Bjerkandera;Bjerkandera adusta HHB-12826-SP SB-22;748444;Bjead1_1
Blastocladiomycota;;Blastocladiomycetes;Blastocladiales;Blastocladiella;Blastocladiella britannica;64508;Blabri1
Ascomycota;Pezizomycotina;Eurotiomycetes;Onygenales;Blastomyces;Blastomyces gilchristii SLH14081;559298;Blade1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Blakeslea;Blakeslea trispora;4850;Blatri1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Blakeslea;Blakeslea trispora;4850;Blatri_F921_1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Blakeslea;Blakeslea trispora;4850;Blatri_F986_2
Ascomycota;Pezizomycotina;Leotiomycetes;Erysiphales;Blumeria;Blumeria graminis f. sp. hordei DH14;546991;Blugr2
Ascomycota;Pezizomycotina;Leotiomycetes;Erysiphales;Blumeria;Blumeria graminis f. sp. hordei;62688;BlugrR1_1
Ascomycota;Pezizomycotina;Leotiomycetes;Erysiphales;Blumeria;Blumeria graminis f. sp. tritici 96224;1268274;Blugra1
Chytridiomycota;;Chytridiomycetes;;Blyttiomyces;Blyttiomyces helicus;388810;Blyhe1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Boeremia;Boeremia exigua;749465;Boeex1
